,resturant_id,resturant,resturant_rating,cuisine,resturant_review_count,phone,address
0,ali-baba-hoboken-2,Ali Baba,4.0,"['Mediterranean', 'Middle Eastern', 'Vegetarian']",230,(201) 653-5319,"912 Washington St Hoboken, NJ 07030"
0,carlos-bakery-hoboken,Carlo’s Bakery,3.0,"['Bakeries', 'Desserts', 'Cupcakes']",1240,(201) 659-3671,"95 Washington St Hoboken, NJ 07030"
0,augustinos-hoboken,Augustino’s,4.0,['Italian'],255,(201) 420-0104,"1104 Washington St Hoboken, NJ 07030"
0,antique-bar-and-bakery-hoboken-2,Antique Bar & Bakery,4.0,"['American (New)', 'Steakhouses', 'Cocktail Bars']",393,(201) 683-7029,"122 Willow Ave Hoboken, NJ 07030"
0,empanadas-cafe-hoboken-2,Empanadas Cafe,4.5,"['Empanadas', 'Cafes']",172,(201) 683-3069,"123 Washington St Hoboken, NJ 07030"
0,robongi-hoboken,Robongi,3.5,"['Japanese', 'Sushi Bars']",445,(551) 227-4992,"520 Washington St Hoboken, NJ 07030"
0,makai-poke-hoboken-13,Makai Poke,4.0,"['Poke', 'Acai Bowls', 'Asian Fusion']",191,(201) 683-5830,"521 Washington St Hoboken, NJ 07030"
0,black-rail-coffee-hoboken,Black Rail Coffee,4.5,"['Coffee & Tea', 'Cafes', 'Sandwiches']",97,(201) 222-7400,"800 Jackson St Hoboken, NJ 07030"
0,turning-point-of-hoboken-hoboken,Turning Point of Hoboken,3.5,['Breakfast & Brunch'],573,(201) 222-3797,"1420 Frank Sinatra Dr Hoboken, NJ 07030"
0,bareburger-hoboken,Bareburger,3.5,"['Burgers', 'Salad', 'American (Traditional)']",321,(201) 683-6565,"515 Washington St Hoboken, NJ 07030"
0,okinawa-sushi-and-grill-hoboken-2,Okinawa Sushi & Grill,4.0,"['Japanese', 'Sushi Bars', 'Thai']",292,(201) 222-0298,"400 Newark StSte 8 Hoboken, NJ 07030"
0,tony-boloneys-hoboken,Tony Boloney’s,3.5,"['Salad', 'Pizza', 'Sandwiches']",489,(201) 222-8669,"263 1st St Hoboken, NJ 07030"
0,cucharamama-hoboken,Cucharamama,3.5,"['Latin American', 'Beer Bar', 'Cocktail Bars']",381,(201) 420-1700,"233 Clinton St Hoboken, NJ 07030"
0,arthurs-steaks-hoboken,Arthurs Steaks,3.5,"['Steakhouses', 'Bars', 'American (Traditional)']",490,(201) 656-5009,"237 Washington St Hoboken, NJ 07030"
0,court-street-restaurant-and-bar-hoboken,Court Street Restaurant & Bar,4.0,"['American (Traditional)', 'Seafood', 'Breakfast & Brunch']",261,(201) 795-4515,"61 6th St Hoboken, NJ 07030"
0,morans-hoboken,Moran’s,4.5,"['Pubs', 'Gastropubs', 'Breakfast & Brunch']",105,(201) 795-2025,"501 Garden St Hoboken, NJ 07030"
0,la-casa-hoboken,La Casa,4.5,"['Cuban', 'Dominican', 'Puerto Rican']",146,(201) 683-7970,"54 Newark St Hoboken, NJ 07030"
0,bin-14-hoboken,Bin 14,3.5,"['Wine Bars', 'Italian']",447,(201) 963-9463,"1314 Washington St Hoboken, NJ 07030"
0,gogi-grill-hoboken-hoboken-2,Gogi Grill - Hoboken,4.0,"['Korean', 'Asian Fusion', 'Fast Food']",183,(201) 792-4504,"79 Hudson St Hoboken, NJ 07030"
0,otto-strada-hoboken-3,Otto Strada,4.0,"['Italian', 'Pizza']",242,(201) 792-8880,"743 Park Ave Hoboken, NJ 07030"
0,midtown-philly-steaks-hoboken-2,Midtown Philly Steaks,4.0,"['Sandwiches', 'Cheesesteaks', 'Chicken Wings']",220,(201) 610-0610,"523 Washington St Hoboken, NJ 07030"
0,the-brass-rail-hoboken,The Brass Rail,3.5,"['American (New)', 'Bars']",444,(201) 659-7074,"135 Washington St Hoboken, NJ 07030"
0,simply-juiced-hoboken,Simply Juiced,4.5,"['Vegan', 'Juice Bars & Smoothies', 'Live/Raw Food']",108,(201) 420-8888,"262A 1st St Hoboken, NJ 07030"
0,coopers-union-hoboken,Cooper’s Union,4.0,['Cocktail Bars'],155,(201) 222-3443,"104 Hudson St Hoboken, NJ 07030"
0,napolis-brick-oven-pizza-hoboken,Napoli’s Brick Oven Pizza,3.5,"['Pizza', 'Italian']",437,(201) 216-0900,"1118 Washington St Hoboken, NJ 07030"
0,rosticeria-da-gigi-hoboken,Rosticeria Da Gigi,4.0,"['Italian', 'Sandwiches', 'Breakfast & Brunch']",170,(201) 710-5850,"916 Washington St Hoboken, NJ 07030"
0,charritos-hoboken-3,Charrito’s,3.5,['Mexican'],434,(201) 418-8600,"121 Washington St Hoboken, NJ 07030"
0,bean-vault-coffee-hoboken,Bean Vault Coffee,4.0,"['Coffee & Tea', 'Bakeries']",121,(201) 526-4380,"1 Newark St Hoboken, NJ 07030"
0,del-friscos-grille-hoboken,Del Frisco’s Grille,3.5,"['American (New)', 'Steakhouses', 'Cocktail Bars']",323,(201) 653-0195,"221 River St Hoboken, NJ 07030"
0,shaka-bowl-hoboken,Shaka Bowl,4.0,"['Poke', 'Acai Bowls', 'Hawaiian']",182,(201) 381-1647,"720 Monroe StSte E103 Hoboken, NJ 07030"
0,illuzion-hoboken,Illuzion,3.5,"['Japanese', 'Sushi Bars']",367,(201) 418-8833,"337 Washington St Hoboken, NJ 07030"
0,zafra-kitchen-hoboken,Zafra Kitchen,3.5,"['Latin American', 'Tapas Bars', 'Cuban']",286,(201) 610-9801,"301 Willow Ave Hoboken, NJ 07030"
0,kung-fu-tea-hoboken,Kung Fu Tea,4.5,"['Bubble Tea', 'Coffee & Tea', 'Juice Bars & Smoothies']",82,(201) 222-9091,"536 Washington St Hoboken, NJ 07030"
0,halifax-hoboken-2,Halifax,3.5,"['Seafood', 'American (Traditional)', 'Breakfast & Brunch']",270,(201) 253-2500,"225 River StFl 1 Hoboken, NJ 07030"
0,green-pear-cafe-hoboken,Green Pear Cafe,4.5,"['Breakfast & Brunch', 'Gluten-Free', 'Modern European']",112,(201) 659-0940,"93 Grand St Hoboken, NJ 07030"
0,sushi-lounge-hoboken,Sushi Lounge,3.5,['Sushi Bars'],326,(201) 386-1117,"200 Hudson St Hoboken, NJ 07030"
0,leos-grandevous-hoboken,Leo’s Grandevous,3.5,"['Italian', 'Pizza']",273,(201) 659-9467,"200 Grand St Hoboken, NJ 07030"
0,frank-sinatra-park-hoboken,Frank Sinatra Park,4.5,['Parks'],41,(201) 420-2349,"401 Sinatra Dr Hoboken, NJ 07030"
0,san-giuseppe-hoboken,San Giuseppe,4.0,"['Italian', 'Pizza']",238,(201) 942-9200,"1320 Adams St Hoboken, NJ 07030"
0,mikie-squared-bar-and-grill-hoboken,Mikie Squared Bar & Grill,3.5,"['American (New)', 'Sports Bars']",217,(201) 792-0001,"616 Washington St Hoboken, NJ 07030"
0,barb%C3%A8s-restaurant-hoboken,Barbès Restaurant,4.0,"['French', 'Moroccan']",135,(201) 610-1000,"1300 Park Ave Hoboken, NJ 07030"
0,pier-c-hoboken,Pier C,5.0,['Parks'],39,,"220 Sinatra Dr Hoboken, NJ 07030"
0,bluestone-lane-hoboken,Bluestone Lane,4.0,"['Coffee & Tea', 'Gluten-Free', 'Breakfast & Brunch']",137,(718) 374-6858,"409 Washington St Hoboken, NJ 07030"
0,zero-otto-uno-cafe-hoboken,Zero Otto Uno Cafe,4.0,"['Pizza', 'Italian']",94,(201) 683-5593,"502 Washington St Hoboken, NJ 07030"
0,the-little-grocery-downtown-hoboken,The Little Grocery Downtown,4.0,"['Grocery', 'Breakfast & Brunch', 'Sandwiches']",162,(201) 610-9220,"214 Jefferson St Hoboken, NJ 07030"
0,house-of-que-hoboken-2,House of ‘Que,3.5,['Barbeque'],413,(201) 706-8755,"340 Sinatra Dr Hoboken, NJ 07030"
0,luca-brasis-deli-hoboken-151,Luca Brasi’s Deli,3.5,"['Delis', 'Sandwiches', 'Breakfast & Brunch']",270,(201) 217-9960,"100 Park Ave Hoboken, NJ 07030"
0,the-madison-bar-and-grill-hoboken,The Madison Bar & Grill,3.5,"['Bars', 'American (New)']",373,(201) 386-0300,"1316 Washington St Hoboken, NJ 07030"
0,pier-c-hoboken,Pier C,5.0,['Parks'],39,,"220 Sinatra Dr Hoboken, NJ 07030"
0,bluestone-lane-hoboken,Bluestone Lane,4.0,"['Coffee & Tea', 'Gluten-Free', 'Breakfast & Brunch']",137,(718) 374-6858,"409 Washington St Hoboken, NJ 07030"
0,zero-otto-uno-cafe-hoboken,Zero Otto Uno Cafe,4.0,"['Pizza', 'Italian']",94,(201) 683-5593,"502 Washington St Hoboken, NJ 07030"
0,the-little-grocery-downtown-hoboken,The Little Grocery Downtown,4.0,"['Grocery', 'Breakfast & Brunch', 'Sandwiches']",162,(201) 610-9220,"214 Jefferson St Hoboken, NJ 07030"
0,house-of-que-hoboken-2,House of ‘Que,3.5,['Barbeque'],413,(201) 706-8755,"340 Sinatra Dr Hoboken, NJ 07030"
0,luca-brasis-deli-hoboken-151,Luca Brasi’s Deli,3.5,"['Delis', 'Sandwiches', 'Breakfast & Brunch']",270,(201) 217-9960,"100 Park Ave Hoboken, NJ 07030"
0,the-madison-bar-and-grill-hoboken,The Madison Bar & Grill,3.5,"['Bars', 'American (New)']",373,(201) 386-0300,"1316 Washington St Hoboken, NJ 07030"
0,dino-and-harrys-hoboken-4,Dino & Harrys Steakhouse,3.5,"['Steakhouses', 'Wine Bars']",280,(201) 659-6202,"163 14th St Hoboken, NJ 07030"
0,ritas-italian-ice-hoboken,Rita’s Italian Ice,4.0,"['Ice Cream & Frozen Yogurt', 'Desserts', 'Shaved Ice']",84,,"121 Washington St Hoboken, NJ 07030"
0,la-isla-restaurant-uptown-hoboken,La Isla Restaurant - Uptown,3.5,['Cuban'],273,(201) 659-6090,"25 12th St Hoboken, NJ 07030"
0,panello-hoboken,Panello,4.0,"['Pizza', 'Italian']",169,(201) 683-4734,"720 Monroe StC105 Hoboken, NJ 07030"
0,mulligans-hoboken,Mulligan’s,4.0,"['Irish', 'Sports Bars']",101,(201) 876-4101,"159 1st St Hoboken, NJ 07030"
0,baking-mama-hoboken,Baking Mama,4.5,"['Bakeries', 'Macarons', 'Desserts']",61,(201) 683-0854,"88 Hudson St Hoboken, NJ 07030"
0,cafe-michelina-hoboken,Cafe Michelina,3.5,['Italian'],190,(201) 659-3663,"423 Bloomfield St Hoboken, NJ 07030"
0,o-bagel-hoboken,O’Bagel,3.5,"['Breakfast & Brunch', 'Bagels']",257,(201) 683-8600,"600 Washington St Hoboken, NJ 07030"
0,t-thai-hoboken,T Thai,3.5,['Thai'],240,(201) 386-1522,"102 Hudson St Hoboken, NJ 07030"
0,honeygrow-hoboken,honeygrow,3.5,"['Salad', 'Vegetarian', 'Noodles']",267,(201) 533-8089,"120 Washington St Hoboken, NJ 07030"
0,acai-ya-later-hoboken,Acai Ya Later,4.0,"['Acai Bowls', 'Juice Bars & Smoothies', 'Vegan']",97,(201) 914-6069,"203 Washington St Hoboken, NJ 07030"
0,piccolos-cheesesteaks-hoboken-hoboken,Piccolos Cheesesteaks Hoboken,4.0,['Cheesesteaks'],83,(201) 653-0564,"92 Clinton St Hoboken, NJ 07030"
0,ultramarinos-hoboken,Ultramarinos,4.0,"['Cafes', 'Latin American', 'Breakfast & Brunch']",86,(201) 238-2797,"260 3rd St Hoboken, NJ 07030"
0,vivi-bubble-tea-hoboken,Vivi Bubble Tea,3.5,"['Ramen', 'Bubble Tea', 'Taiwanese']",189,(201) 626-3889,"117 Washington St Hoboken, NJ 07030"
0,black-bear-bar-and-grill-hoboken,Black Bear Bar & Grill,3.0,"['Sports Bars', 'American (New)']",333,(201) 656-5511,"205 Washington St Hoboken, NJ 07030"
0,doms-bakery-grand-hoboken,Dom’s Bakery Grand,5.0,['Bakeries'],31,(201) 653-1948,"506 Grand St Hoboken, NJ 07030"
0,south-street-fish-and-ramen-co-hoboken,South Street Fish & Ramen Co,4.0,"['Poke', 'Asian Fusion', 'Ramen']",115,(201) 683-9878,"219 Washington St Hoboken, NJ 07030"
0,soul-curry-hoboken,Soul Curry,4.0,['Indian'],68,(201) 683-9431,"618 Washington St Hoboken, NJ 07030"
0,frankie-and-avas-italian-eatery-hoboken-2,Frankie and Avas Italian Eatery,4.0,"['Delis', 'Italian']",139,(201) 683-7890,"208 Washington St Hoboken, NJ 07030"
0,blue-eyes-restaurant-hoboken,Blue Eyes Restaurant,3.5,"['Pizza', 'Cafes', 'Italian']",231,(201) 683-6861,"525 Sinatra Dr Hoboken, NJ 07030"
0,tosti-cafe-and-kitchen-hoboken,Tosti Cafe & Kitchen,4.5,"['Coffee & Tea', 'Breakfast & Brunch']",67,(201) 683-7060,"1024 Washington St Hoboken, NJ 07030"
0,chicken-factory-hoboken,Chicken Factory,3.5,"['Chicken Wings', 'Korean']",158,(201) 683-8243,"529 Washington St Hoboken, NJ 07030"
0,quality-greens-kitchen-hoboken,Quality Greens Kitchen,4.0,"['American (New)', 'Salad', 'Gluten-Free']",118,(201) 659-4361,"227 Washington St Hoboken, NJ 07030"
0,lo-fatt-chow-hoboken,Lo-Fatt-Chow,4.0,['Chinese'],93,(201) 798-5050,"720 Monroe St C-103(Monroe & 8th St) Hoboken, NJ 07030"
0,sushi-house-hoboken,Sushi House,3.5,"['Japanese', 'Sushi Bars']",247,(201) 656-7788,"155 1st St Hoboken, NJ 07030"
0,trattoria-saporito-hoboken-2,Trattoria Saporito,3.5,['Italian'],233,(201) 533-1801,"328 Washington St Hoboken, NJ 07030"
0,city-bistro-hoboken,City Bistro,3.5,"['Bars', 'American (New)']",326,(201) 963-8200,"56-58 14th St Hoboken, NJ 07030"
0,hoboken-hot-bagels-hoboken,Hoboken Hot Bagels,3.5,"['Breakfast & Brunch', 'Bagels']",176,(201) 798-9640,"634 Washington St Hoboken, NJ 07030"
0,dozzino-hoboken,Dozzino,3.5,['Pizza'],278,(201) 656-6561,"534 Adams St Hoboken, NJ 07030"
0,cork-city-hoboken,Cork City,4.0,['Pubs'],108,(201) 963-5512,"239 Bloomfield StSte A Hoboken, NJ 07030"
0,greektown-hoboken-3,Greektown,4.0,"['Greek', 'Salad']",132,(201) 222-3031,"86 Garden St Hoboken, NJ 07030"
0,ainsworth-hoboken-hoboken,Ainsworth Hoboken,3.0,"['Sports Bars', 'American (New)']",371,(201) 716-7070,"310 Sinatra Dr Hoboken, NJ 07030"
0,the-stewed-cow-hoboken,The Stewed Cow,3.5,"['Bars', 'American (New)']",215,(201) 706-8589,"400 Adams St Hoboken, NJ 07030"
0,gfg-bakery-cafe-hoboken,GFG Bakery Cafe,4.0,"['Bakeries', 'Greek', 'Sandwiches']",111,(201) 533-1040,"221 River St Hoboken, NJ 07030"
0,pier-a-park-hoboken,Pier A Park,4.5,['Parks'],49,,"100 Sinatra Dr Hoboken, NJ 07030"
0,ayame-hibachi-and-sushi-hoboken,Ayame Hibachi & Sushi,3.5,"['Japanese', 'Sushi Bars']",226,(201) 222-8148,"526 Washington St Hoboken, NJ 07030"
0,losurdos-italian-bakery-and-deli-hoboken,Losurdo’s Italian Bakery & Deli,4.5,"['Bakeries', 'Delis', 'Italian']",41,(201) 659-4766,"410 2nd St Hoboken, NJ 07030"
0,keming-restaurant-hoboken-2,Keming Restaurant,3.5,"['Szechuan', 'Hot Pot']",125,(201) 656-6108,"1006 Washington St Hoboken, NJ 07030"
0,precious-chinese-cuisine-hoboken,Precious Chinese Cuisine,3.5,['Chinese'],245,(201) 798-8827,"128 Washington StSte 1 Hoboken, NJ 07030"
0,union-hall-hoboken,Union Hall,3.5,['Gastropubs'],148,(201) 683-8900,"306 Sinatra Dr Hoboken, NJ 07030"
0,east-la-hoboken,East LA,3.0,"['Mexican', 'Bars']",362,(201) 798-0052,"508 Washington St Hoboken, NJ 07030"
0,la-bouche-cafe-hoboken-2,La Bouche Cafe,3.5,"['French', 'Breakfast & Brunch', 'Sandwiches']",162,(201) 656-9100,"103 Garden St Hoboken, NJ 07030"
0,sri-thai-thai-restaurant-hoboken,Sri Thai Thai Restaurant,3.5,['Thai'],188,(201) 798-4822,"234 Bloomfield St Hoboken, NJ 07030"
0,pho-nomenon-noodle-and-grill-hoboken,Pho Nomenon Noodle & Grill,3.0,"['Vietnamese', 'Noodles']",224,(201) 706-8554,"516 Washington St Hoboken, NJ 07030"
0,stacks-pancake-house-and-cafe-hoboken-2,Stacks Pancake House & Cafe,3.0,"['Breakfast & Brunch', 'Barbeque']",397,(201) 710-5777,"506 Washington St Hoboken, NJ 07030"
0,dolce-and-salato-hoboken,Dolce & Salato,4.5,"['Coffee & Tea', 'Gelato', 'Italian']",35,(201) 420-9182,"1101 Grand St Hoboken, NJ 07030"
0,lolas-hoboken,Lola’s,3.5,"['Spanish', 'Tapas Bars', 'Wine Bars']",169,(201) 420-6062,"153 14th St Hoboken, NJ 07030"
0,16-handles-hoboken,16 Handles,4.0,"['Ice Cream & Frozen Yogurt', 'Desserts', 'Juice Bars & Smoothies']",82,(201) 217-0858,"1185 Maxwell Pl Hoboken, NJ 07030"
0,pizza-republic-hoboken,Pizza Republic,3.5,['Pizza'],202,(201) 798-8210,"406 Washington St Hoboken, NJ 07030"
0,sorellina-hoboken,Sorellina,3.5,"['Wine Bars', 'Italian']",202,(201) 963-3333,"1036 Washington St Hoboken, NJ 07030"
0,mr-wraps-hoboken,Mr Wraps,3.5,['American (New)'],104,(201) 386-3200,"741 Garden St Hoboken, NJ 07030"
0,yeung-ii-sushi-asian-cuisine-hoboken-61,Yeung II Sushi Asian Cuisine,3.5,"['Japanese', 'Sushi Bars', 'Pan Asian']",181,(201) 420-7197,"1120 Washington St Hoboken, NJ 07030"
0,giovannis-pizzeria-and-restaurant-hoboken-6,Giovanni’s Pizzeria & Restaurant,3.5,"['Pizza', 'Italian', 'Sandwiches']",123,(201) 714-4232,"603 Washington St Hoboken, NJ 07030"
0,stingray-lounge-uptown-hoboken-2,Stingray Lounge,4.5,"['Seafood', 'Cocktail Bars', 'Lounges']",191,(201) 683-6030,"1210 Washington St Uptown Hoboken, NJ 07030"
0,wicked-wolf-tavern-hoboken,Wicked Wolf Tavern,3.0,"['Sports Bars', 'American (Traditional)']",386,(201) 659-7500,"120 Sinatra Dr Hoboken, NJ 07030"
0,louise-and-jerrys-hoboken,Louise & Jerry’s,4.0,['Bars'],77,(201) 656-9698,"329 Washington St Hoboken, NJ 07030"
0,basiles-pizza-hoboken,Basile’s Pizza,3.0,['Pizza'],240,(201) 222-5050,"89 Washington St Hoboken, NJ 07030"
0,congress-station-jersey-city,Congress Station,4.5,"['Coffee & Tea', 'Breakfast & Brunch', 'Bagels']",108,(201) 656-5752,"589 Palisade Ave Jersey City, NJ 07307"
0,10th-and-willow-bar-and-grill-hoboken,10th & Willow Bar & Grill,3.0,"['American (Traditional)', 'Bars', 'Barbeque']",280,(201) 653-2358,"935 Willow Ave Hoboken, NJ 07030"
0,napolis-pizza-hoboken,Napoli’s Pizza,4.0,"['Pizza', 'Italian', 'Venues & Event Spaces']",71,(201) 479-0440,"133 Clinton St Hoboken, NJ 07030"
0,djura-grill-halal-food-truck-jersey-city,Djura Grill Halal Food Truck,5.0,"['Halal', 'Food Trucks']",24,(718) 249-3788,"50 Christopher Columbus Dr Jersey City, NJ 07302"
0,amanda-bananas-hoboken,Amanda Bananas,4.5,"['Ice Cream & Frozen Yogurt', 'Food Trucks', 'Desserts']",31,(973) 495-7718,"Pier 13 Hoboken, NJ 07030"
0,flatbread-grill-hoboken,Flatbread Grill,3.5,"['Mediterranean', 'Turkish', 'Middle Eastern']",102,(201) 659-6560,"517 Washingston St Hoboken, NJ 07030"
0,modcup-coffee-jersey-city-2,Modcup Coffee,4.5,['Coffee & Tea'],165,(201) 798-1666,"479 Palisade Ave Jersey City, NJ 07307"
0,seven-valleys-hoboken,Seven Valleys,4.0,"['Persian/Iranian', 'Mediterranean', 'Vegetarian']",46,(201) 792-5979,"936 Washington St Hoboken, NJ 07030"
0,sunnyside-cafe-and-eatery-hoboken-4,Sunnyside Cafe & Eatery,3.5,"['Coffee & Tea', 'Breakfast & Brunch', 'Sandwiches']",122,(201) 798-0888,"79 Hudson St Hoboken, NJ 07030"
0,finnegans-pub-hoboken-2,Finnegan’s Pub,4.0,['Pubs'],66,(201) 217-1512,"734 Willow Ave Hoboken, NJ 07030"
0,alfalfa-hoboken,Alfalfa,4.5,[],35,(201) 790-0491,"1110 Washington St Hoboken, NJ 07030"
0,urban-coalhouse-pizza-and-bar-hoboken-2,Urban Coalhouse Pizza and Bar,3.5,"['Bars', 'Pizza', 'Italian']",190,(201) 292-3388,"116 14th St Hoboken, NJ 07030"
0,dcs-tavern-hoboken,DC’s Tavern,4.0,['Dive Bars'],51,(201) 792-5550,"505 8th St Hoboken, NJ 07030"
0,marios-classic-pizza-hoboken,Mario’s Classic Pizza,3.5,['Pizza'],86,(201) 659-0808,"742 Garden St Hoboken, NJ 07030"
0,baja-mexican-cuisine-hoboken-2,Baja Mexican Cuisine,3.5,['Mexican'],201,(201) 653-0610,"104 14th St Hoboken, NJ 07030"
0,farside-tavern-hoboken,Farside Tavern,3.5,"['American (New)', 'Bars']",79,(201) 963-7677,"531 Washington St Hoboken, NJ 07030"
0,malibu-diner-hoboken,Malibu Diner,3.0,"['Diners', 'Breakfast & Brunch', 'Sandwiches']",265,(201) 656-1595,"257 14th St Hoboken, NJ 07030"
0,hudson-tavern-hoboken,Hudson Tavern,3.5,"['Pubs', 'American (New)', 'Sandwiches']",129,(201) 798-1117,"51 14th St Hoboken, NJ 07030"
0,apulia-hoboken,Apulia,4.5,"['Pizza', 'Italian']",54,(201) 683-3923,"1319 Washington St Hoboken, NJ 07030"
0,jps-bagel-express-hoboken,JP’s Bagel Express,3.5,"['Bagels', 'Breakfast & Brunch', 'Caterers']",122,(201) 963-5522,"52 Newark St Hoboken, NJ 07030"
0,tenth-street-pasta-and-pizza-hoboken,Tenth Street Pasta & Pizza,3.5,"['Pizza', 'Italian']",89,(201) 683-8134,"1000 Willow Ave Hoboken, NJ 07030"
0,ds-soul-full-cafe-hoboken,D’s Soul Full Cafe,3.5,['Breakfast & Brunch'],88,(201) 604-0054,"918 Willow Ave Hoboken, NJ 07030"
0,sauced-hoboken,Sauced,3.5,['Sandwiches'],67,(201) 526-4550,"217 Washington St Hoboken, NJ 07030"
0,shaka-bowl-hoboken-2,Shaka Bowl,4.0,"['Hawaiian', 'Acai Bowls', 'Poke']",45,(201) 253-0626,"110 Washington St Hoboken, NJ 07030"
0,the-cliff-jersey-city,The Cliff,4.5,"['Breakfast & Brunch', 'American (Traditional)', 'Scandinavian']",131,(201) 626-4046,"38 Congress St Jersey City, NJ 07307"
0,willie-mcbrides-hoboken,Willie McBrides,3.5,"['American (Traditional)', 'Irish Pub', 'Music Venues']",99,(201) 610-1522,"616 Grand St Hoboken, NJ 07030"
0,green-rock-tap-and-grill-hoboken,Green Rock Tap & Grill,3.0,"['American (Traditional)', 'Sports Bars']",175,(201) 386-5600,"70 Hudson St Hoboken, NJ 07030"
0,the-dubliner-hoboken,The Dubliner,3.0,"['Pubs', 'American (New)', 'Breakfast & Brunch']",139,(201) 656-7731,"96 River St Hoboken, NJ 07030"
0,bucket-and-bay-craft-gelato-hoboken-3,Bucket & Bay Craft Gelato,4.5,"['Gelato', 'Ice Cream & Frozen Yogurt', 'Desserts']",27,(201) 683-8093,"153 1st St Hoboken, NJ 07030"
0,bangkok-city-thai-restaurant-hoboken,Bangkok City Thai Restaurant,3.0,['Thai'],157,(201) 792-6613,"335 Washington St Hoboken, NJ 07030"
0,northern-soul-hoboken-2,Northern Soul,4.0,"['Bars', 'Comfort Food', 'Breakfast & Brunch']",61,(201) 217-8784,"700 1st St Hoboken, NJ 07030"
0,lisas-italian-deli-hoboken,Lisa’s Italian Deli,3.0,"['Italian', 'Delis']",153,(201) 795-3212,"901 Park Ave Hoboken, NJ 07030"
0,ubu-hoboken,Ubu,3.5,"['Sushi Bars', 'Japanese']",88,(201) 222-2800,"205 Hudson St Hoboken, NJ 07030"
